2015-12-18: *, 0.00, 43, *, 60, 30, 47, 21, BKN, 1.17, 0.00, 0.00, 43, 10.0, *, 23, 0
2015-12-19: *, *****, 39, *, 70, 29, 41, 16, BKN, 0.01, 0.00, 0.00, 39, 10.0, *, 22, 0
2015-09-21: *, *****, 68, *, 170, 17, 72, 44, BKN, 0.00, 0.00, *****, 68, 10.0, *, 6, 0
2015-04-26: *, *****, 52, *, 80, ***, 59, 33, BKN, 0.00, 0.00, *****, 52, 10.0, *, 13, 0
2015-04-27: *, *****, 59, *, 80, 26, 63, 31, BKN, 0.00, 0.00, *****, 59, 10.0, *, 17, 0
2015-04-24: *, *****, 45, *, 722, 37, 52, 17, SCT, 0.00, 0.00, 0.00, 45, 10.0, *, 29, 0
2015-04-25: *, *****, 49, *, 722, 25, 59, 36, SCT, 0.00, 0.00, *****, 49, 10.0, *, 6, 0
2015-04-22: *, 0.16, 53, *, 90, 47, 63, 46, OVC, 0.02, 0.00, 0.19, 53, 10.0, *, 14, 0
2015-04-23: *, *****, 47, *, 60, 30, 54, 19, BKN, 0.19, 0.00, 0.00, 44, 10.0, *, 21, 0
2015-08-19: *, *****, 79, *, 722, 21, 86, 72, SCT, 0.00, 0.00, *****, 79, 10.0, *, 11, 0
2015-08-18: *, *****, 79, *, 722, 25, 86, 72, SCT, 0.00, 0.00, *****, 79, 10.0, *, 20, 0
2015-08-17: *, *****, 80, *, 722, 24, 91, 68, SCT, 0.00, 0.00, 0.00, 80, 10.0, *, 13, 0
2015-08-16: *, 0.00, 79, *, 722, ***, 90, 68, SCT, 0.00, 0.00, 0.00, 79, 10.0, *, 8, 0
2015-08-15: *, *****, 79, *, 722, ***, 88, 66, SCT, 0.00, 0.00, *****, 79, 10.0, *, 16, 0
2015-08-14: *, *****, 77, *, 722, ***, 85, 62, SCT, 0.00, 0.00, *****, 77, 10.0, *, 15, 0
2015-08-13: *, *****, 77, *, 722, 21, 87, 60, SCT, 0.00, 0.00, 0.00, 77, 10.0, *, 13, 0
2015-09-20: *, *****, 69, *, 722, 24, 80, 43, SCT, 0.00, 0.00, *****, 69, 10.0, *, 16, 0
2015-08-11: *, 0.35, 76, *, 722, 23, 81, 67, SCT, 0.77, 0.00, 0.00, 75, 10.0, *, 13, 0
2015-08-10: *, *****, 76, *, 95, 21, 81, 64, BKN, 0.00, 0.00, *****, 75, 10.0, *, 10, 0
2015-12-16: *, *****, 49, *, 31, 24, 53, 40, SCT, 0.09, 0.00, *****, 47, 10.0, *, 3, 0
2015-12-17: *, 0.51, 58, *, 3, 26, 58, 55, OVC, 0.05, 0.00, 0.99, 57, 2.0, *, 3, 0
2015-10-30: *, *****, 54, *, 722, 23, 63, 28, CLR, 0.06, 0.00, *****, 53, 10.0, *, 15, 0
2015-10-31: *, *****, 53, *, 160, 25, 53, 41, BKN, 0.00, 0.00, *****, 52, 10.0, *, 7, 0
2015-07-21: *, *****, 79, *, 250, ***, 89, 71, BKN, 0.00, 0.00, *****, 79, 10.0, *, 10, 0
2015-07-20: *, *****, 82, *, 250, ***, 95, 72, SCT, 0.00, 0.00, *****, 82, 10.0, *, 8, 0
2015-07-23: *, *****, 76, *, 722, 22, 88, 61, SCT, 0.00, 0.00, *****, 76, 10.0, *, 6, 0
2015-07-22: *, 0.00, 82, *, 250, 23, 89, 47, SCT, 0.00, 0.00, 0.00, 82, 10.0, *, 16, 0
2015-07-25: *, *****, 77, *, 722, ***, 84, 65, SCT, 0.00, 0.00, *****, 77, 10.0, *, 11, 0
